股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH688388,嘉元科技,48.2,+0.95,2.01%,7.47%,1822292,87199548.14,0.78%,24.729,1.127%,14674766379
SZ002816,和科达,13.2,+0.26,2.01%,4.68%,1257500,16516322,1.28%,,,1320000000
SH600703,三安光电,18.25,+0.36,2.01%,6.35%,28807984,521937160.28,0.71%,89.816,0.493%,91049591768
SH600660,福耀玻璃,36.7,+0.72,2%,4.65%,10055715,368278388.76,0.5%,21.517,2.725%,95777587624
SZ300300,海峡创新,4.09,+0.08,2%,4.6%,4074200,16594657,0.61%,,,2746013362
SZ300819,聚杰微纤,14.3,+0.28,2%,-1.52%,1057301,15079044,2.39%,46.774,1.399%,2133631500
SH688448,磁谷科技,24.45,+0.48,2%,4%,224042,5462882.91,1.38%,30.378,,1742333895
SH600481,双良节能,12.75,+0.25,2%,-1.47%,12169763,153500286.3,0.75%,24.759,,23850930950
SZ002895,川恒股份,28.06,+0.55,2%,7.63%,3282447,91661537,0.67%,18.896,0.702%,14080967370
SH605567,春雪食品,14.78,+0.29,2%,-4.21%,1778900,26203704,1.44%,44.686,0.677%,2956000000
SZ300600,国瑞科技,7.64,+0.15,2%,3.52%,1536205,11678705,0.63%,,,2247951427
SH600096,云天化,21.43,+0.42,2%,1.85%,24058323,512293516.14,1.4%,6.628,,39318780084
SZ300279,和晶科技,5.1,+0.1,2%,3.24%,1807460,9172003,0.41%,,,2501834835
SZ300535,达威股份,13.23,+0.26,2%,2.96%,1058500,13942598,1.21%,78.326,0.756%,1383628380
SZ002788,鹭燕医药,8.71,+0.17,1.99%,4.56%,4222062,36608337,1.11%,10.427,3.444%,3383980771
SH688525,佰维存储,17.9,+0.35,1.99%,11.46%,4429643,79114719.34,12.73%,99.603,,7702891534
SH600998,九州通,13.87,+0.27,1.99%,6.37%,2921200,40228649.5,0.16%,14.583,2.163%,25990569147
SH601390,中国中铁,5.63,+0.11,1.99%,1.26%,70040385,391668428.7,0.34%,4.647,3.481%,139354863384
SH603716,塞力医疗,10.76,+0.21,1.99%,-2.54%,4177700,44741146,2.08%,,,2189844114
SZ301213,观想科技,35.79,+0.7,1.99%,4.74%,412010,14750901,1.43%,47.553,0.838%,2863199964
SZ300921,南凌科技,18.49,+0.36,1.99%,5.48%,967337,17840558,1.57%,39.544,1.244%,2432503167
SZ300287,飞利信,3.61,+0.07,1.98%,4.03%,11807361,42467558,0.92%,,,5181338447
SZ000697,炼石航空,7.22,+0.14,1.98%,0.28%,5984740,43401448,1.04%,,,4849067946
SZ002132,恒星科技,4.63,+0.09,1.98%,4.28%,17807165,81851652,1.27%,36.681,,6489151952
SH603773,沃格光电,19.59,+0.38,1.98%,0.31%,3386613,65649517.9,2.17%,,0.357%,3405971743
SZ300790,宇瞳光学,16.48,+0.32,1.98%,10.6%,1767820,29403094,0.71%,49.765,0.807%,5576513376
SH688280,精进电动-UW,8.24,+0.16,1.98%,4.3%,792354,6482850.5,0.17%,,,4863426536
SZ002461,珠江啤酒,8.26,+0.16,1.98%,3.12%,6899672,56790537,0.31%,31.14,1.453%,18282093245
SZ301197,工大科雅,21.08,+0.41,1.98%,2.88%,384800,8079747,1.35%,31.899,,2540983200
SH600976,健民集团,60.03,+1.16,1.97%,20.81%,2341409,141401838.82,1.54%,23.387,1.343%,9208517958
SH600056,中国医药,15.53,+0.3,1.97%,-9.87%,34088555,526701969.75,2.28%,40.181,0.837%,23231012486
SZ300774,倍杰特,11.88,+0.23,1.97%,2.33%,1772900,20995476,1.43%,25.785,1.684%,4856112281
SZ300526,*ST中潜,11.92,+0.23,1.97%,-6.73%,1916100,22668510,0.94%,,,2434647699
SH600966,博汇纸业,8.79,+0.17,1.97%,-1.12%,6625802,57863055.29,0.5%,29.259,3.083%,11750861292
SZ002217,合力泰,3.11,+0.06,1.97%,21.96%,219178194,704539074,7.05%,,,9692054444
SH600262,北方股份,16.58,+0.32,1.97%,3.82%,629100,10356389,0.37%,25.969,0.995%,2818600000
SH600592,龙溪股份,7.26,+0.14,1.97%,4.46%,2036101,14676465.15,0.51%,30.273,1.68%,2900758925
SZ300249,依米康,8.82,+0.17,1.97%,4.88%,9152219,80589716,2.48%,125.724,0.227%,3885104107
SZ300830,金现代,8.31,+0.16,1.96%,7.09%,1966800,16321941,0.82%,134.186,0.602%,3574338750
SZ300626,华瑞股份,8.34,+0.16,1.96%,6.38%,1471900,12198958,0.83%,43.914,0.36%,1501200000
SH688067,爱威科技,19.21,+0.37,1.96%,2.56%,375090,7169725.6,0.93%,47.227,1.562%,1306280000
SH600143,金发科技,9.89,+0.19,1.96%,2.06%,12109703,119381065.84,0.47%,23.182,1.962%,26279680664
SH603757,大元泵业,22.33,+0.43,1.96%,15.76%,1429476,31876626.64,0.86%,18.294,1.567%,3724134876
SZ002972,科安达,17.13,+0.33,1.96%,5.03%,1165100,19961992,1.42%,20.694,2.919%,3020361600
SZ002196,方正电机,8.34,+0.16,1.96%,14.88%,13181333,109193097,2.76%,111.851,,4159324216
SH688193,仁度生物,47.88,+0.92,1.96%,2.48%,102470,4873603.81,1.2%,51.55,,1915200000
SZ300007,汉威科技,17.71,+0.34,1.96%,4.79%,2461779,43366070,0.87%,20.332,0.452%,5778290491
SZ300669,沪宁股份,8.32,+0.16,1.96%,3.61%,710650,5887585,0.4%,31.634,1.839%,1603309976
SH600486,扬农化工,107.25,+2.06,1.96%,3.22%,564026,60136477.35,0.18%,18.016,0.606%,33236657776
SZ300508,维宏股份,22.35,+0.43,1.96%,5.13%,621257,13775111,1.1%,66.858,0.555%,2438259840
SZ300030,阳普医疗,6.78,+0.13,1.95%,-1.6%,1903600,12860882,0.71%,,0.59%,2096289996
SZ000401,冀东水泥,8.36,+0.16,1.95%,1.58%,5201014,43131507,0.34%,8.47,8.971%,22222666699
SH600271,航天信息,10.96,+0.21,1.95%,5.28%,5295232,57774614.72,0.29%,23.752,1.515%,20307615632
SH688038,中科通达,12.54,+0.24,1.95%,5.47%,515530,6471869.3,0.64%,51.315,0.797%,1459322436
SZ002817,黄山胶囊,8.91,+0.17,1.95%,-0.56%,3643254,32357389,1.26%,42.792,0.64%,2664964695
SZ001336,楚环科技,25.6,+0.49,1.95%,3.6%,479248,12226013,2.39%,23.941,,2057561600
SH688080,映翰通,42.53,+0.81,1.94%,3.53%,249657,10641312.47,0.67%,35.183,0.329%,2235909105
SH688070,纵横股份,41.49,+0.79,1.94%,-1.85%,140123,5815982.21,0.38%,,,3633694200
SH600078,ST澄星,12.1,+0.23,1.94%,4.13%,3095800,37676664,0.47%,3.29,,8017131618
SH600071,凤凰光学,23.15,+0.44,1.94%,9.82%,3154231,72756826.04,1.12%,,,6518435530
SZ300166,东方国信,8.42,+0.16,1.94%,5.38%,12070676,101156845,1.31%,48.787,,9703051700
SH688509,正元地信,4.2,+0.08,1.94%,3.96%,1614078,6756610.93,0.43%,83.801,0.286%,3234000000
SZ002092,中泰化学,7.35,+0.14,1.94%,-1.47%,11640502,84716986,0.47%,13.721,1.619%,19116023450
SH600756,浪潮软件,14.17,+0.27,1.94%,4.42%,7250560,103104363.53,2.24%,99.24,,4592479330
SZ300861,美畅股份,50.97,+0.97,1.94%,3.68%,2738545,137960879,1.13%,19.727,1.634%,24466211640
